apps/server/src/modules/Sales/requests/requests.routes.ts:469	post	/:id/close-channel
apps/server/src/modules/Core/auth/auth.routes.ts:11	post	/login
apps/server/src/modules/Core/auth/auth.routes.ts:66	get	/me
apps/server/src/modules/Inventory/inventory/inventory.routes.ts:18	get	/
apps/server/src/modules/Inventory/inventory/inventory.routes.ts:84	post	/
apps/server/src/modules/Inventory/inventory/inventory.routes.ts:113	post	/bulk
apps/server/src/modules/Inventory/inventory/inventory.routes.ts:146	put	/:id
apps/server/src/modules/Inventory/inventory/inventory.routes.ts:172	delete	/:id
apps/server/src/modules/Communication/telegram/destinations/destination.routes.ts:9	get	/
apps/server/src/modules/Communication/telegram/destinations/destination.routes.ts:25	patch	/:id/pause
apps/server/src/modules/Communication/telegram/destinations/destination.routes.ts:36	patch	/:id/resume
apps/server/src/modules/Communication/telegram/destinations/destination.routes.ts:47	post	/:id/sync
apps/server/src/modules/Communication/telegram/core/telegram.routes.ts:17	post	/webhook/:botId
